origin,season,color_name,size,adventurous,application,print,nivel,grupo
NO_MAINSTREAM,8,green,L,three,freetime,smooth,3,abrigo
NO_MAINSTREAM,8,green,M,three,freetime,smooth,3,abrigo
NO_MAINSTREAM,8,green,S,three,freetime,smooth,3,abrigo
NO_MAINSTREAM,8,green,XL,three,freetime,smooth,3,abrigo
NO_MAINSTREAM,8,green,XS,three,freetime,smooth,3,abrigo
NO_MAINSTREAM,8,green,XXL,three,freetime,smooth,3,abrigo
NO_MAINSTREAM,8,blue_dark,L,three,freetime,smooth,3,abrigo
NO_MAINSTREAM,8,blue_dark,M,three,freetime,smooth,3,abrigo
NO_MAINSTREAM,8,blue_dark,S,three,freetime,smooth,3,abrigo
NO_MAINSTREAM,8,blue_dark,XL,three,freetime,smooth,3,abrigo
NO_MAINSTREAM,8,blue_dark,XS,three,freetime,smooth,3,abrigo
NO_MAINSTREAM,8,black,L,two,freetime,smooth,3,abrigo
NO_MAINSTREAM,8,black,M,two,freetime,smooth,3,abrigo
NO_MAINSTREAM,8,black,S,two,freetime,smooth,3,abrigo
NO_MAINSTREAM,8,black,XL,two,freetime,smooth,3,abrigo
NO_MAINSTREAM,8,black,XS,two,freetime,smooth,3,abrigo
NO_MAINSTREAM,8,black,XXL,two,freetime,smooth,3,abrigo
NO_MAINSTREAM,8,mustand,L,two,freetime,smooth,3,abrigo
NO_MAINSTREAM,8,mustand,M,two,freetime,smooth,3,abrigo
NO_MAINSTREAM,8,mustand,S,two,freetime,smooth,3,abrigo
NO_MAINSTREAM,8,mustand,XL,two,freetime,smooth,3,abrigo
NO_MAINSTREAM,8,mustand,XS,two,freetime,smooth,3,abrigo
NO_MAINSTREAM,8,mustand,XXL,two,freetime,smooth,3,abrigo
NO_MAINSTREAM,8,rust,L,two,freetime,smooth,3,abrigo
NO_MAINSTREAM,8,rust,M,two,freetime,smooth,3,abrigo
NO_MAINSTREAM,8,rust,S,two,freetime,smooth,3,abrigo
NO_MAINSTREAM,8,rust,XL,two,freetime,smooth,3,abrigo
NO_MAINSTREAM,8,rust,XS,two,freetime,smooth,3,abrigo
NO_MAINSTREAM,8,rust,XXL,two,freetime,smooth,3,abrigo
MAINSTREAM,8,black,L,two,freetime,smooth,3,abrigo
MAINSTREAM,8,black,M,two,freetime,smooth,3,abrigo
MAINSTREAM,8,black,S,two,freetime,smooth,3,abrigo
MAINSTREAM,8,black,XS,two,freetime,smooth,3,abrigo
MAINSTREAM,8,black,XXL,two,freetime,smooth,3,abrigo
MAINSTREAM,8,garnet,L,two,freetime,smooth,3,abrigo
MAINSTREAM,8,garnet,M,two,freetime,smooth,3,abrigo
MAINSTREAM,8,garnet,S,two,freetime,smooth,3,abrigo
MAINSTREAM,8,garnet,XL,two,freetime,smooth,3,abrigo
MAINSTREAM,8,garnet,XS,two,freetime,smooth,3,abrigo
MAINSTREAM,8,gray_light,L,two,freetime,smooth,3,abrigo
MAINSTREAM,8,gray_light,M,two,freetime,smooth,3,abrigo
MAINSTREAM,8,gray_light,S,two,freetime,smooth,3,abrigo
MAINSTREAM,8,gray_light,XL,two,freetime,smooth,3,abrigo
MAINSTREAM,8,gray_light,XS,two,freetime,smooth,3,abrigo
NO_MAINSTREAM,8,green_dark,L,three,freetime,smooth,3,abrigo
NO_MAINSTREAM,8,green_dark,M,three,freetime,smooth,3,abrigo
NO_MAINSTREAM,8,green_dark,S,three,freetime,smooth,3,abrigo
NO_MAINSTREAM,8,green_dark,XS,three,freetime,smooth,3,abrigo
NO_MAINSTREAM,8,beige,L,four,freetime,smooth,3,abrigo
NO_MAINSTREAM,8,beige,M,four,freetime,smooth,3,abrigo
NO_MAINSTREAM,8,beige,S,four,freetime,smooth,3,abrigo
NO_MAINSTREAM,8,beige,XL,four,freetime,smooth,3,abrigo
NO_MAINSTREAM,8,beige,XS,four,freetime,smooth,3,abrigo
NO_MAINSTREAM,8,black,L,four,freetime,smooth,3,abrigo
NO_MAINSTREAM,8,black,M,four,freetime,smooth,3,abrigo
NO_MAINSTREAM,8,black,S,four,freetime,smooth,3,abrigo
NO_MAINSTREAM,8,black,XL,four,freetime,smooth,3,abrigo
NO_MAINSTREAM,8,black,XS,four,freetime,smooth,3,abrigo
MAINSTREAM,9,blue_dark,L,two,freetime,smooth,3,abrigo
MAINSTREAM,9,blue_dark,M,two,freetime,smooth,3,abrigo
MAINSTREAM,9,blue_dark,S,two,freetime,smooth,3,abrigo
MAINSTREAM,9,blue_dark,XL,two,freetime,smooth,3,abrigo
MAINSTREAM,9,blue_dark,XS,two,freetime,smooth,3,abrigo
MAINSTREAM,9,fuchsia,L,two,freetime,smooth,3,abrigo
MAINSTREAM,9,fuchsia,M,two,freetime,smooth,3,abrigo
MAINSTREAM,9,fuchsia,S,two,freetime,smooth,3,abrigo
MAINSTREAM,9,fuchsia,XL,two,freetime,smooth,3,abrigo
MAINSTREAM,9,fuchsia,XS,two,freetime,smooth,3,abrigo
MAINSTREAM,9,gray_light,L,two,freetime,smooth,3,abrigo
MAINSTREAM,9,gray_light,M,two,freetime,smooth,3,abrigo
MAINSTREAM,9,gray_light,S,two,freetime,smooth,3,abrigo
MAINSTREAM,9,gray_light,XL,two,freetime,smooth,3,abrigo
MAINSTREAM,9,gray_light,XS,two,freetime,smooth,3,abrigo
MAINSTREAM,9,khaki,L,three,freetime,smooth,3,abrigo
MAINSTREAM,9,khaki,M,three,freetime,smooth,3,abrigo
MAINSTREAM,9,khaki,S,three,freetime,smooth,3,abrigo
MAINSTREAM,9,khaki,XL,three,freetime,smooth,3,abrigo
MAINSTREAM,9,khaki,XS,three,freetime,smooth,3,abrigo
MAINSTREAM,9,khaki,XXL,three,freetime,smooth,3,abrigo
MAINSTREAM,9,blue_dark,XXL,two,freetime,smooth,3,abrigo
MAINSTREAM,9,blue_dark,XXXL,two,freetime,smooth,3,abrigo
MAINSTREAM,9,camel,L,two,freetime,smooth,3,abrigo
MAINSTREAM,9,camel,M,two,freetime,smooth,3,abrigo
MAINSTREAM,9,camel,S,two,freetime,smooth,3,abrigo
MAINSTREAM,9,camel,XL,two,freetime,smooth,3,abrigo
MAINSTREAM,9,camel,XXL,two,freetime,smooth,3,abrigo
MAINSTREAM,9,camel,XXXL,two,freetime,smooth,3,abrigo
MAINSTREAM,9,yellow,L,two,freetime,smooth,3,abrigo
MAINSTREAM,9,yellow,M,two,freetime,smooth,3,abrigo
MAINSTREAM,9,yellow,S,two,freetime,smooth,3,abrigo
MAINSTREAM,9,yellow,XL,two,freetime,smooth,3,abrigo
MAINSTREAM,9,yellow,XXL,two,freetime,smooth,3,abrigo
MAINSTREAM,9,yellow,XXXL,two,freetime,smooth,3,abrigo
MAINSTREAM,8,grey,L,three,freetime,smooth,3,abrigo
MAINSTREAM,8,grey,M,three,freetime,smooth,3,abrigo
MAINSTREAM,8,grey,S,three,freetime,smooth,3,abrigo
MAINSTREAM,8,grey,XL,three,freetime,smooth,3,abrigo
MAINSTREAM,8,grey,XS,three,freetime,smooth,3,abrigo
MAINSTREAM,8,grey,XXL,three,freetime,smooth,3,abrigo
MAINSTREAM,8,khaki,L,three,freetime,smooth,3,abrigo
MAINSTREAM,8,khaki,M,three,freetime,smooth,3,abrigo
MAINSTREAM,8,khaki,S,three,freetime,smooth,3,abrigo
MAINSTREAM,8,khaki,XL,three,freetime,smooth,3,abrigo
MAINSTREAM,8,khaki,XS,three,freetime,smooth,3,abrigo
MAINSTREAM,8,khaki,XXL,three,freetime,smooth,3,abrigo
WHOLE_SALE,8,camel,L,two,freetime,herringbone,3,abrigo
WHOLE_SALE,8,camel,M,two,freetime,herringbone,3,abrigo
WHOLE_SALE,8,camel,S,two,freetime,herringbone,3,abrigo
WHOLE_SALE,8,ecru,L,three,work,smooth,3,abrigo
WHOLE_SALE,8,ecru,M,three,work,smooth,3,abrigo
WHOLE_SALE,8,ecru,S,three,work,smooth,3,abrigo
WHOLE_SALE,8,camel,L,three,freetime,smooth,3,abrigo
WHOLE_SALE,8,camel,M,three,freetime,smooth,3,abrigo
WHOLE_SALE,8,camel,S,three,freetime,smooth,3,abrigo
WHOLE_SALE,8,ecru,L,three,freetime,smooth,3,abrigo
WHOLE_SALE,8,ecru,M,three,freetime,smooth,3,abrigo
WHOLE_SALE,8,ecru,S,three,freetime,smooth,3,abrigo
WHOLE_SALE,8,khaki,L,three,freetime,smooth,3,abrigo
WHOLE_SALE,8,khaki,M,three,freetime,smooth,3,abrigo
WHOLE_SALE,8,khaki,S,three,freetime,smooth,3,abrigo
WHOLE_SALE,8,beige,L,two,freetime,herringbone,3,abrigo
WHOLE_SALE,8,beige,M,two,freetime,herringbone,3,abrigo
WHOLE_SALE,8,beige,S,two,freetime,herringbone,3,abrigo
WHOLE_SALE,8,black,L,two,freetime,herringbone,3,abrigo
WHOLE_SALE,8,black,M,two,freetime,herringbone,3,abrigo
WHOLE_SALE,8,black,S,two,freetime,herringbone,3,abrigo
MAINSTREAM,8,black,L,four,freetime,smooth,3,abrigo
MAINSTREAM,8,black,M,four,freetime,smooth,3,abrigo
MAINSTREAM,8,black,S,four,freetime,smooth,3,abrigo
MAINSTREAM,8,black,XL,four,freetime,smooth,3,abrigo
MAINSTREAM,8,black,XXL,four,freetime,smooth,3,abrigo
MAINSTREAM,8,black,XXXL,four,freetime,smooth,3,abrigo
MAINSTREAM,8,camel,L,four,freetime,smooth,3,abrigo
MAINSTREAM,8,camel,M,four,freetime,smooth,3,abrigo
MAINSTREAM,8,camel,S,four,freetime,smooth,3,abrigo
MAINSTREAM,8,camel,XL,four,freetime,smooth,3,abrigo
MAINSTREAM,8,camel,XXL,four,freetime,smooth,3,abrigo
MAINSTREAM,8,camel,XXXL,four,freetime,smooth,3,abrigo
MAINSTREAM,8,blue_dark,L,three,freetime,smooth,3,abrigo
MAINSTREAM,8,blue_dark,M,three,freetime,smooth,3,abrigo
MAINSTREAM,8,blue_dark,S,three,freetime,smooth,3,abrigo
MAINSTREAM,8,blue_dark,XL,three,freetime,smooth,3,abrigo
MAINSTREAM,8,blue_dark,XS,three,freetime,smooth,3,abrigo
MAINSTREAM,8,crimson,L,three,freetime,smooth,3,abrigo
MAINSTREAM,8,crimson,M,three,freetime,smooth,3,abrigo
MAINSTREAM,8,crimson,S,three,freetime,smooth,3,abrigo
MAINSTREAM,8,crimson,XL,three,freetime,smooth,3,abrigo
MAINSTREAM,8,crimson,XS,three,freetime,smooth,3,abrigo
MAINSTREAM,8,red,L,three,freetime,smooth,3,abrigo
MAINSTREAM,8,red,M,three,freetime,smooth,3,abrigo
MAINSTREAM,8,red,S,three,freetime,smooth,3,abrigo
MAINSTREAM,8,red,XL,three,freetime,smooth,3,abrigo
MAINSTREAM,8,red,XS,three,freetime,smooth,3,abrigo
MAINSTREAM,8,grey_dark,L,three,freetime,other,3,abrigo
MAINSTREAM,8,grey_dark,M,three,freetime,other,3,abrigo
MAINSTREAM,8,grey_dark,S,three,freetime,other,3,abrigo
MAINSTREAM,8,grey_dark,XL,three,freetime,other,3,abrigo
MAINSTREAM,8,grey_dark,XS,three,freetime,other,3,abrigo
MAINSTREAM,7,green_dark,L,two,freetime,smooth,3,abrigo
MAINSTREAM,7,green_dark,M,two,freetime,smooth,3,abrigo
MAINSTREAM,7,green_dark,S,two,freetime,smooth,3,abrigo
MAINSTREAM,7,green_dark,XL,two,freetime,smooth,3,abrigo
MAINSTREAM,7,green_dark,XXL,two,freetime,smooth,3,abrigo
MAINSTREAM,7,beige,L,two,freetime,smooth,3,abrigo
MAINSTREAM,7,beige,M,two,freetime,smooth,3,abrigo
MAINSTREAM,7,beige,S,two,freetime,smooth,3,abrigo
MAINSTREAM,7,beige,XL,two,freetime,smooth,3,abrigo
MAINSTREAM,7,beige,XS,two,freetime,smooth,3,abrigo
OWN_PRODUCTION,7,black,UNQ,three,freetime,smooth,3,bolso
OWN_PRODUCTION,7,pink,UNQ,three,freetime,smooth,3,bolso
OWN_PRODUCTION,7,mustand,UNQ,three,freetime,smooth,3,bolso
OWN_PRODUCTION,7,orange,UNQ,three,freetime,smooth,3,bolso
OWN_PRODUCTION,7,pink,UNQ,four,freetime,ethnic,3,bolso
OWN_PRODUCTION,7,blue_turquoise,UNQ,four,freetime,ethnic,3,bolso
OWN_PRODUCTION,7,beige,UNQ,four,freetime,smooth,3,bolso
MAINSTREAM,7,brown_light,UNQ,two,freetime,smooth,3,bolso
MAINSTREAM,7,crimson,UNQ,two,freetime,smooth,3,bolso
MAINSTREAM,7,green,UNQ,two,freetime,smooth,3,bolso
MAINSTREAM,7,blue,UNQ,three,freetime,smooth,3,bolso
MAINSTREAM,7,camel,UNQ,three,freetime,smooth,3,bolso
MAINSTREAM,7,coral,UNQ,three,freetime,smooth,3,bolso
MAINSTREAM,7,yellow,UNQ,three,freetime,smooth,3,bolso
MAINSTREAM,7,black,UNQ,three,freetime,geometric,3,bolso
OWN_PRODUCTION,7,red,UNQ,three,freetime,smooth,3,bolso
OWN_PRODUCTION,7,nude,UNQ,three,freetime,smooth,3,bolso
OWN_PRODUCTION,7,rust,UNQ,three,freetime,smooth,3,bolso
OWN_PRODUCTION,8,blue_dark,UNQ,three,freetime,smooth,3,bolso
OWN_PRODUCTION,8,grey,UNQ,three,freetime,smooth,3,bolso
OWN_PRODUCTION,7,black,UNQ,four,freetime,smooth,3,bolso
OWN_PRODUCTION,7,red,UNQ,four,freetime,smooth,3,bolso
OWN_PRODUCTION,7,brown_light,UNQ,two,freetime,smooth,3,bolso
OWN_PRODUCTION,7,mustand,UNQ,two,freetime,smooth,3,bolso
OWN_PRODUCTION,7,rust,UNQ,two,freetime,smooth,3,bolso
OWN_PRODUCTION,7,brown_light,UNQ,three,freetime,smooth,3,bolso
OWN_PRODUCTION,7,gold,UNQ,four,freetime,smooth,3,bolso
OWN_PRODUCTION,7,brown,UNQ,three,freetime,smooth,3,bolso
OWN_PRODUCTION,7,brown,UNQ,four,freetime,smooth,3,bolso
OWN_PRODUCTION,7,mustand,UNQ,four,freetime,smooth,3,bolso
OWN_PRODUCTION,7,green_dark,UNQ,four,freetime,smooth,3,bolso
OWN_PRODUCTION,7,rust,UNQ,four,freetime,smooth,3,bolso
OWN_PRODUCTION,7,coral,UNQ,three,freetime,smooth,3,bolso
OWN_PRODUCTION,7,green_dark,UNQ,three,freetime,smooth,3,bolso
OWN_PRODUCTION,7,coral,UNQ,four,freetime,smooth,3,bolso
OWN_PRODUCTION,7,nude,UNQ,four,freetime,smooth,3,bolso
OWN_PRODUCTION,8,brown,UNQ,two,freetime,smooth,3,bolso
OWN_PRODUCTION,8,garnet,UNQ,two,freetime,smooth,3,bolso
OWN_PRODUCTION,8,khaki,UNQ,two,freetime,smooth,3,bolso
OWN_PRODUCTION,8,rust,UNQ,two,freetime,smooth,3,bolso
OWN_PRODUCTION,8,silver,UNQ,four,freetime,smooth,3,bolso
OWN_PRODUCTION,8,brown,UNQ,three,freetime,smooth,3,bolso
OWN_PRODUCTION,8,blue_dark,UNQ,four,freetime,smooth,3,bolso
OWN_PRODUCTION,8,brown,UNQ,four,freetime,smooth,3,bolso
OWN_PRODUCTION,8,gray_light,UNQ,four,freetime,smooth,3,bolso
OWN_PRODUCTION,8,silver,UNQ,three,freetime,,3,bolso
OWN_PRODUCTION,8,black,UNQ,two,freetime,smooth,3,bolso
OWN_PRODUCTION,8,black,UNQ,three,freetime,smooth,3,bolso
OWN_PRODUCTION,8,rust,UNQ,three,freetime,smooth,3,bolso
OWN_PRODUCTION,8,camel,UNQ,three,freetime,smooth,3,bolso
OWN_PRODUCTION,8,garnet,UNQ,three,freetime,smooth,3,bolso
OWN_PRODUCTION,9,brown,UNQ,three,freetime,smooth,3,bolso
OWN_PRODUCTION,8,khaki,UNQ,three,freetime,smooth,3,bolso
WHOLE_SALE,7,brown,UNQ,four,freetime,smooth,3,bolso
WHOLE_SALE,7,camel,UNQ,two,freetime,smooth,3,bolso
MAINSTREAM,8,garnet,UNQ,two,freetime,smooth,3,bolso
NO_MAINSTREAM,9,black,UNQ,two,freetime,smooth,3,bolso
NO_MAINSTREAM,9,blue_dark,UNQ,two,freetime,smooth,3,bolso
NO_MAINSTREAM,9,brown_light,UNQ,two,freetime,horizontal_stripes,3,bolso
NO_MAINSTREAM,9,brown_light,UNQ,three,freetime,vertical_stripes,3,bolso
MAINSTREAM,9,brown,UNQ,two,freetime,smooth,3,bolso
MAINSTREAM,9,black,UNQ,two,freetime,smooth,3,bolso
OWN_PRODUCTION,9,blue_klein,UNQ,three,freetime,sheets,3,bolso
OWN_PRODUCTION,9,nude,UNQ,three,freetime,sheets,3,bolso
OWN_PRODUCTION,9,black,UNQ,three,freetime,floral,3,bolso
OWN_PRODUCTION,9,ecru,UNQ,three,freetime,floral,3,bolso
OWN_PRODUCTION,9,blue_dark,UNQ,two,freetime,ethnic,3,bolso
WHOLE_SALE,8,camel,UNQ,three,freetime,smooth,3,bolso
WHOLE_SALE,8,black,UNQ,three,freetime,smooth,3,bolso
OWN_PRODUCTION,9,black,UNQ,three,freetime,smooth,3,bolso
OWN_PRODUCTION,9,coral,UNQ,three,freetime,smooth,3,bolso
OWN_PRODUCTION,9,garnet,UNQ,three,freetime,smooth,3,bolso
OWN_PRODUCTION,9,ochre,UNQ,three,freetime,smooth,3,bolso
OWN_PRODUCTION,9,blue_dark,UNQ,three,freetime,smooth,3,bolso
OWN_PRODUCTION,9,blue_dark,UNQ,two,freetime,smooth,3,bolso
OWN_PRODUCTION,9,garnet,UNQ,two,freetime,smooth,3,bolso
OWN_PRODUCTION,9,aubergine,UNQ,two,freetime,smooth,3,bolso
OWN_PRODUCTION,9,black,UNQ,two,freetime,smooth,3,bolso
OWN_PRODUCTION,9,rust,UNQ,two,freetime,smooth,3,bolso
OWN_PRODUCTION,9,salmon,UNQ,two,freetime,smooth,3,bolso
OWN_PRODUCTION,9,black,UNQ,three,freetime,animal_print,3,bolso
OWN_PRODUCTION,9,khaki,UNQ,two,freetime,smooth,3,bolso
OWN_PRODUCTION,9,camel,UNQ,two,freetime,smooth,3,bolso
OWN_PRODUCTION,9,green,UNQ,two,freetime,smooth,3,bolso
WHOLE_SALE,9,black,UNQ,two,freetime,smooth,3,bolso
WHOLE_SALE,9,blue_dark,UNQ,two,freetime,smooth,3,bolso
WHOLE_SALE,9,brown,UNQ,two,freetime,smooth,3,bolso
WHOLE_SALE,9,green_dark,UNQ,two,freetime,smooth,3,bolso
WHOLE_SALE,8,brown,UNQ,two,freetime,smooth,3,bolso
MAINSTREAM,9,gold,UNQ,three,freetime,smooth,3,bolso
MAINSTREAM,9,pink,UNQ,two,freetime,smooth,3,bolso
NO_MAINSTREAM,7,coral,L,three,freetime,horizontal_stripes,2,camiseta
NO_MAINSTREAM,7,coral,M,three,freetime,horizontal_stripes,2,camiseta
NO_MAINSTREAM,7,coral,S,three,freetime,horizontal_stripes,2,camiseta
NO_MAINSTREAM,7,coral,XL,three,freetime,horizontal_stripes,2,camiseta
NO_MAINSTREAM,7,coral,XS,three,freetime,horizontal_stripes,2,camiseta
NO_MAINSTREAM,7,coral,XXL,three,freetime,horizontal_stripes,2,camiseta
NO_MAINSTREAM,7,mustand,L,three,freetime,horizontal_stripes,2,camiseta
NO_MAINSTREAM,7,mustand,M,three,freetime,horizontal_stripes,2,camiseta
NO_MAINSTREAM,7,mustand,S,three,freetime,horizontal_stripes,2,camiseta
NO_MAINSTREAM,7,mustand,XL,three,freetime,horizontal_stripes,2,camiseta
NO_MAINSTREAM,7,mustand,XS,three,freetime,horizontal_stripes,2,camiseta
NO_MAINSTREAM,7,mustand,XXL,three,freetime,horizontal_stripes,2,camiseta
NO_MAINSTREAM,7,ecru,L,three,freetime,smooth,2,camiseta
NO_MAINSTREAM,7,ecru,M,three,freetime,smooth,2,camiseta
NO_MAINSTREAM,7,ecru,S,three,freetime,smooth,2,camiseta
NO_MAINSTREAM,7,ecru,XL,three,freetime,smooth,2,camiseta
NO_MAINSTREAM,7,ecru,XS,three,freetime,smooth,2,camiseta
NO_MAINSTREAM,7,ecru,XXL,three,freetime,smooth,2,camiseta
MAINSTREAM,7,blue_dark,L,three,freetime,smooth,2,camiseta
MAINSTREAM,7,blue_dark,M,three,freetime,smooth,2,camiseta
MAINSTREAM,7,blue_dark,S,three,freetime,smooth,2,camiseta
MAINSTREAM,7,blue_dark,XL,three,freetime,smooth,2,camiseta
MAINSTREAM,7,blue_dark,XS,three,freetime,smooth,2,camiseta
MAINSTREAM,7,blue_dark,XXL,three,freetime,smooth,2,camiseta
MAINSTREAM,7,mustand,L,three,freetime,smooth,2,camiseta
MAINSTREAM,7,mustand,M,three,freetime,smooth,2,camiseta
MAINSTREAM,7,mustand,S,three,freetime,smooth,2,camiseta
MAINSTREAM,7,mustand,XL,three,freetime,smooth,2,camiseta
MAINSTREAM,7,mustand,XS,three,freetime,smooth,2,camiseta
MAINSTREAM,7,mustand,XXL,three,freetime,smooth,2,camiseta
MAINSTREAM,7,pink,L,three,freetime,smooth,2,camiseta
MAINSTREAM,7,pink,M,three,freetime,smooth,2,camiseta
MAINSTREAM,7,pink,S,three,freetime,smooth,2,camiseta
MAINSTREAM,7,pink,XL,three,freetime,smooth,2,camiseta
